date,price_usd,inr_per_usd,gold_price_inr,fed_intrest_rate,inflation_yoy,gold_return_1d,inr_change_1d,gold_inr_return_1d
1984-05-01,325.3,11.0168,3583.76504,10.32,4.3346774193548265,7.04179006252057,1.8188539741220033,8.988723915044062
1984-06-01,316.4,11.0638,3500.58632,11.06,4.325955734406439,-2.735936059022448,0.4266211604095682,-2.320986980775963
1984-07-01,316.5,11.3714,3599.0481,11.23,4.308617234468937,0.03160556257901792,2.780238254487588,2.8127225270079936
1984-08-01,317.2,11.5561,3665.59492,11.64,4.295704295704317,0.2211690363349117,1.6242503121867147,1.8490116872847517
1984-09-01,329.8,11.8584,3910.90032,11.3,4.2828685258964105,3.9722572509457876,2.6159344415503494,6.692103338030608
1984-10-01,323.4,12.0268,3889.46712,9.99,4.265873015873023,-1.940570042449985,1.420090400053975,-0.5480374912751662
1984-11-01,325.8,12.0784,3935.1427200000003,9.43,4.154302670623156,0.7421150278293265,0.429041806631858,1.174340818183861
1984-12-01,325.3,12.2925,3998.7502500000005,8.38,4.043392504930954,-0.15346838551258957,1.7725857729500527,1.6163970286699136
1985-01-01,321.9,12.6119,4059.77061,8.35,3.52595494613126,-1.0451890562557797,2.5983323164531225,1.525985775180616
1985-02-01,345.4,12.9217,4463.15518,8.5,3.606237816764146,7.300403852128001,2.4564102157486056,9.936141933891186
1985-03-01,338.9,12.8614,4358.728459999999,8.58,3.790087463556846,-1.8818760856977423,-0.46665686403492,-2.3397510458061266
1985-04-01,345.7,12.4005,4286.852849999999,8.27,3.581800580832528,2.006491590439663,-3.583591210910164,-1.6490040767531577
1985-05-01,340.4,12.5005,4255.1702,7.97,3.5748792270531515,-1.5331212033555142,0.8064190960042072,-0.739065489500057
1985-06-01,342.4,12.4405,4259.6272,7.53,3.6644165863066513,0.5875440658049458,-0.4799808007679762,0.10474316632504976
1985-07-01,342.7,12.0314,4123.16078,7.88,3.458213256484166,0.08761682242990343,-3.2884530364535203,-3.203717452081245
1985-08-01,348.3,11.8977,4143.9689100000005,7.9,3.3524904214559337,1.6340822877151995,-1.1112588726166495,0.5046645306904685
1985-09-01,376.6,12.1255,4566.4633,7.92,3.2473734479465,8.1251794430089,1.9146557738050296,10.1954044341515
1985-10-01,417.7,12.0332,5026.26764,7.99,3.2350142721217834,10.913436006372802,-0.7612057234753222,10.06915658338916
1985-11-01,423.5,12.1011,5124.81585,8.05,3.5137701804368597,1.3885563801771639,0.564272180301173,1.960663797839457
1985-12-01,397.6,12.1524,4831.79424,8.27,3.791469194312791,-6.115702479338836,0.42392840320299996,-5.717700276001136
1986-01-01,390.9,12.2433,4785.90597,8.14,3.973509933774833,-1.685110663983913,0.7480003949837055,-0.9497149034227159
1986-02-01,408.3,12.37,5050.670999999999,7.86,3.19849482596426,4.45126630851882,1.0348517148154546,5.532182029058963
1986-03-01,401.1,12.289,4929.1179,7.48,2.153558052434445,-1.763409257898596,-0.654810024252217,-2.4066723015614966
1986-04-01,408.9,12.3932,5067.579479999999,6.99,1.5887850467289688,1.9446522064322957,0.8479127675156795,2.809053928290073
1986-05-01,438.4,12.4657,5464.96288,6.85,1.679104477611948,7.214477867449265,0.5849982248329777,7.841680659737782
1986-06-01,460.2,12.5986,5797.87572,6.92,1.7674418604651132,4.972627737226287,1.0661254482299487,6.091767635208534
1986-07-01,449.6,12.5077,5623.461920000001,6.56,1.671309192200554,-2.303346371142978,-0.7215087390662456,-3.00823626485045
1986-08-01,450.5,12.5667,5661.29835,6.17,1.575532900834098,0.20017793594304667,0.47170942699297225,0.6728316211306318
1986-09-01,461.2,12.6757,5846.03284,5.89,1.757631822386685,2.3751387347391795,0.8673717045843299,3.2631117206532556
1986-10-01,460.4,12.8486,5915.49544,5.85,1.5668202764977046,-0.17346053772766545,1.3640272332099856,1.1882006465088635
1986-11-01,465.4,13.0761,6085.61694,6.04,1.2844036697247765,1.0860121633362363,1.7706209236804105,2.87586224561438
1986-12-01,467.6,13.1486,6148.285360000001,6.91,1.187214611872145,0.4727116458960179,0.5544466622311006,1.0297792420697505
1987-01-01,486.2,13.0295,6334.9429,6.43,1.364877161055511,3.977758768177919,-0.9057998570189962,3.035928377924213
1987-02-01,476.6,13.0621,6225.39686,6.1,1.914311759343668,-1.974496092143141,0.25020146590428727,-1.729234844405625
1987-03-01,442.1,12.9236,5713.5235600000005,6.13,2.8414298808432603,-7.23877465379773,-1.0603195504551244,-8.222340061385246
1987-04-01,443.6,12.8145,5684.512200000001,6.37,3.679852805887762,0.33928975344945655,-0.8441920207991616,-0.5077665243757079
1987-05-01,451.6,12.666,5719.9656,6.85,3.669724770642202,1.80342651036971,-1.1588434976003814,0.6236841219198874
